ID,wav,transcript
audio_58,training_data\audio_58.wav,My medication is Celecoxib 200mg twice daily for arthritis pain.
audio_112,training_data\audio_112.wav,My medication is Sotalol 80mg twice daily for arrhythmia.
audio_165,training_data\audio_165.wav,Take Ursodeoxycholic acid 250mg three times daily for gallstones.
audio_186,training_data\audio_186.wav,I need to take Gemfibrozil 600mg twice daily for high triglycerides.
audio_62,training_data\audio_62.wav,My prescription is for Isosorbide Mononitrate 30mg once daily for angina.
audio_107,training_data\audio_107.wav,My prescription is for Desmopressin 0.1mg twice daily for diabetes insipidus.
audio_19,training_data\audio_19.wav,The doctor prescribed Benzonatate 200mg three times daily for cough.
audio_34,training_data\audio_34.wav,Take Methylphenidate 10mg twice daily for ADHD.
audio_115,training_data\audio_115.wav,Take Saxagliptin 5mg once daily for diabetes type 2.
audio_46,training_data\audio_46.wav,The doctor advised me to take Lovastatin 20mg with dinner for high cholesterol.
audio_67,training_data\audio_67.wav,My medication is Mirabegron 25mg once daily for overactive bladder.
audio_126,training_data\audio_126.wav,I have to take Febuxostat 80mg once daily for hyperuricemia.
audio_52,training_data\audio_52.wav,Take Finasteride 1mg once daily for hair loss.
audio_98,training_data\audio_98.wav,My prescription is for Ezetimibe 10mg once daily for high cholesterol.
audio_25,training_data\audio_25.wav,Take Clonidine 0.1mg twice daily for hypertension.
audio_9,training_data\audio_9.wav,I have to take Cyclobenzaprine 10mg three times daily for muscle spasms.
audio_60,training_data\audio_60.wav,I need to take Risedronate 35mg once weekly for osteoporosis.
audio_83,training_data\audio_83.wav,I need to take Alfuzosin 10mg once daily after a meal for BPH.
audio_175,training_data\audio_175.wav,My medication is Quinapril 10mg twice daily for hypertension.
audio_167,training_data\audio_167.wav,I was advised to take Lithium 300mg three times daily for bipolar disorder.
audio_24,training_data\audio_24.wav,I need to take Levetiracetam 500mg twice daily for seizures.
audio_66,training_data\audio_66.wav,Take Dabigatran 150mg twice daily to prevent blood clots.
audio_193,training_data\audio_193.wav,My medication is Oxcarbazepine 300mg twice daily for seizures.
audio_190,training_data\audio_190.wav,The doctor prescribed Megestrol 40mg four times daily for appetite stimulation.
audio_161,training_data\audio_161.wav,My prescription is for Olmesartan-Hydrochlorothiazide 20-12.5mg once daily for hypertension.
audio_121,training_data\audio_121.wav,My medication is Liraglutide 1.2mg injection once daily for diabetes.
audio_185,training_data\audio_185.wav,I was told to take Pentoxifylline 400mg three times daily for circulation.
